team_key,team_name,rank,wins,losses,ties,win_pct
466.l.165651.t.4,Unknown team,,,,,
466.l.165651.t.7,Unknown team,,,,,
466.l.165651.t.3,Unknown team,,,,,
466.l.165651.t.6,Unknown team,,,,,
466.l.165651.t.1,Unknown team,,,,,
466.l.165651.t.9,Unknown team,,,,,
466.l.165651.t.8,Unknown team,,,,,
466.l.165651.t.14,Unknown team,,,,,
466.l.165651.t.13,Unknown team,,,,,
466.l.165651.t.12,Unknown team,,,,,
466.l.165651.t.2,Unknown team,,,,,
466.l.165651.t.10,Unknown team,,,,,
466.l.165651.t.5,Unknown team,,,,,
466.l.165651.t.11,Unknown team,,,,,
